product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_CALL_U,20251209,-6509,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-5952|-301|0|0|0|0|0|0,-6253,-256,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251210,-9256,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-8761|-248|4|0|0|0|0|0,-9005,-251,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251211,-43512,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-41468|-1095|4|-166|0|0|0|0,-42725,-787,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251212,95,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,354|-246|-1|0|0|0|0|0,107,-12,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251215,360,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,369|-5|-1|0|0|0|0|0,363,-3,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251216,-674,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-451|-7|-100|0|0|-80|0|0,-638,-36,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251217,416,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,702|-285|0|0|0|0|0|0,417,-1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251218,88,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-193|279|0|0|0|0|0|0,86,2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251219,689,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,587|-100|1|0|0|0|0|0,488,201,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251222,51,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,249|-209|0|0|0|0|0|0,40,11,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20251223,7,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,434|-426|0|0|0|0|0|0,8,-1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250718,347,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,418|-70|0|0|0|0|0|0,348,-1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250721,738,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,676|58|6|0|0|0|0|0,740,-2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250723,1114,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1066|52|0|0|0|0|0|0,1118,-4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250724,1416,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1552|-146|4|0|0|0|0|0,1410,6,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250725,619,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,570|29|0|0|0|0|0|0,599,20,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_PUT_U,20250728,814,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,923|43|-150|0|0|0|0|0,816,-2,0,OPTION_SPECIFIC_SEMANTICS
